GS1 Artikelcode (GTIN);Status;Productclassificatie;Gaat naar de consument;Verpakkings type;Landen of Regio's;Productomschrijving (max 35 tekens);Taal van productomschrijving;Merk;Submerk;Netto inhoud;Eenheid;Afbeelding (max 500 tekens);Bron;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440191;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Green 2XL;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440207;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Red S;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440214;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Red M;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440221;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Global Market;Period Menstrual Panties Red L;Engels;Bnatural;;40;Gram;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;België;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440238;ACTIVE;Vrouwelijke Hygiëne – Handdoekjes/Maandverbanden;Ja;Doos;Spanje;;;Bnatural;;;;;MijnGS1;
